Course,Year,Department,Subject,hr/week,Type,Teacher,Trainer,,
B.Tech,3rd,CSE(AI/ML),Machine Learning Lab,4,Practical,IW,SM/PS,,
B.Tech,3rd,CSE(AI/ML),Cloud Computing,4,Practical,BPT,,,
B.Tech,3rd,ME,Heat Transfer,4,Theory,MJK,,,
B.Tech,3rd,ME,Effective Technical Communication,3,Theory,CD,,,
B.Tech,3rd,ME,Solid Mechanics,4,Theory,MJK,,,
B.Tech,3rd,ME,Kinematics & TOM,4,Theory,HbR,,,
B.Tech,3rd,ME,Essence of Indian Knowledge Tradition,2,Theory,AS,,,
B.Tech,3rd,ME,Machine Drawing II,3,Practical,NM,PM,,
B.Tech,3rd,ME,Mech. Eng. Lab(Thermal),3,Practical,MJK,SK,,
B.Tech,3rd,ME,Project I,4,Practical,,,,
B.Tech,3rd,FET,Food Processing Technology I,4,Theory,MAM,,,
B.Tech,3rd,FET,Food Processing Technology II,3,Theory,SKD,,,
B.Tech,3rd,FET,Renewable Energy,3,Theory,ABD,,,
B.Tech,3rd,FET,Fermentation Technology,3,Theory,AS,,,
B.Tech,3rd,FET,Food Process Engineering,3,Theory,KKD,,,
B.Tech,3rd,FET,Constitution,3,Theory,AS,,,
B.Tech,3rd,FET,Economics,2,Theory,PS,,,
B.Tech,3rd,FET,Food Enginnering Lab,4,Practical,SC,,,
B.Tech,3rd,FET,Food Analysis and Quality Control Lab,4,Practical,SKD,,,
B.Tech,3rd,C&EE,Economics,1,Theory,PS,,,
B.Tech,3rd,C&EE,Unit Operation II,3,Theory,SC,,,
B.Tech,3rd,C&EE,Design of RC Structures A,3,Theory,SB,,,
B.Tech,3rd,C&EE,Design of RC Structures B,3,Theory,SS,,,
B.Tech,3rd,C&EE,Engineering geology-A,3,Theory,SB,,,
B.Tech,3rd,C&EE,Engineering geology-B,3,Theory,HbR,,,
B.Tech,3rd,C&EE,Concrete Technology A,3,Theory,SS,,,
B.Tech,3rd,C&EE,Concrete Technology B,3,Theory,HbR,,,
B.Tech,3rd,C&EE,Soil Mechanics Lab II,3,Practical,HbR,,,
B.Tech,3rd,C&EE,Quantity Surveying,3,Practical,KP,,,
B.Tech,3rd,C&EE,Concrete Laboratory,3,Practical,SS,,,
B.Tech,3rd,C&EE,Engineering Geology Lab,3,Practical,SB,,,
B.Tech,4th,EE,Artificial Intelligence,3,Theory,SB,,,
B.Tech,4th,EE,Power Generation Economics,3,Theory,SnC,,,
B.Tech,4th,EE,Electric Drive,3,Theory,CS,,,
B.Tech,4th,EE,Principles of Management,3,Theory,PS,,,
B.Tech,4th,EE,Digital Image Processing,3,Theory,AR,,,
B.Tech,4th,EE,Electrical Drive Lab,2,Practical,CS,AK,,
B.Tech,4th,FET,Entrepreuneurship for Food Tech,3,Theory,AS,,,
B.Tech,4th,FET,Nanoscience in Food Science,3,Theory,KKD,,,
B.Tech,4th,FET,Modelling and Simulation of Food Process,3,Theory,SC,,,
B.Tech,4th,FET,Project Engineering & Food Plant Layout,3,Theory,ABD,,,
B.Tech,4th,FET,Food Saftey & Quality Management,3,Theory,VK,,,
B.Tech,4th,FET,Food Packaging Technology,3,Theory,SC,,,
B.Tech,4th,FET,Product Development & Quality Assurance Lab,3,Practical,KKD,,,
B.Tech,4th,ME,Non-Conventional Energy,3,Theory,SKD,,,
B.Tech,4th,ME,Industrial Engineering,3,Theory,AnP,,,
B.Tech,4th,ME,Advanced Weilding technolog,3,Theory,TS,,,
B.Tech,4th,ME,Mechanical Vibration,3,Theory,DS,,,
B.Tech,4th,ME,Advance Manufacturing Technology,3,Theory,DD,,,
B.Tech,4th,ME,Automobile Engineering,3,Theory,NM,,,
B.Tech,4th,ME,CAD-CAM,3,Theory,HM,,,
B.Tech,4th,ME,Economics,3,Theory,PS,,,
B.Tech,4th,ME,Mechanical Engineering Lab II,3,Practical,DD,SC,,
